epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,22638.3,0.52088,0.85958,0.40628,0.92116,0.93993,0.88515,0.93595,0.79274,0.94765,0.87348,0.92224,0.75653,0.56036,0.9597,0.4513,0.65501,0.000742815,0.000742815,0.000742815
30,23413.1,0.50813,0.84916,0.39192,0.91629,0.90394,0.87664,0.91774,0.78533,0.91759,0.86954,0.90335,0.75091,0.5822,0.95126,0.50326,0.68187,0.000709809,0.000709809,0.000709809
31,24185.3,0.51609,0.8744,0.39894,0.92555,0.9388,0.86789,0.9293,0.79013,0.94401,0.88021,0.92538,0.76825,0.58028,0.92268,0.46761,0.66962,0.000676802,0.000676802,0.000676802
32,24959.3,0.50163,0.83506,0.38824,0.92054,0.93867,0.88424,0.92679,0.79617,0.94773,0.88957,0.92315,0.76161,0.55076,0.92686,0.45126,0.66089,0.000643795,0.000643795,0.000643795
33,25736.1,0.49624,0.83956,0.3862,0.91555,0.93467,0.87891,0.92685,0.79745,0.93958,0.86814,0.91564,0.76514,0.55551,0.91412,0.445,0.66242,0.000610789,0.000610789,0.000610789
34,26511.1,0.48761,0.83014,0.37064,0.91164,0.94068,0.87993,0.93036,0.80052,0.94576,0.88102,0.92683,0.77388,0.55537,0.90558,0.44955,0.68395,0.000577782,0.000577782,0.000577782
35,27286.1,0.4894,0.8352,0.3789,0.91221,0.9416,0.88944,0.93068,0.79656,0.94544,0.88651,0.92018,0.76046,0.5534,0.923,0.43651,0.66496,0.000544776,0.000544776,0.000544776
36,28061.7,0.48173,0.81128,0.36316,0.91187,0.93934,0.88556,0.92903,0.80558,0.9428,0.88306,0.92064,0.77118,0.52811,0.95722,0.41251,0.64695,0.000511769,0.000511769,0.000511769
37,28841,0.48346,0.81446,0.36855,0.91507,0.94569,0.88531,0.93416,0.81072,0.94868,0.88211,0.92435,0.77733,0.5537,0.92628,0.43178,0.65834,0.000478762,0.000478762,0.000478762
38,29626,0.47318,0.79676,0.36144,0.9109,0.91783,0.89047,0.92826,0.80956,0.9252,0.8805,0.92449,0.77036,0.5483,0.909,0.44015,0.64976,0.000445756,0.000445756,0.000445756
39,30408.4,0.47588,0.81597,0.35947,0.9056,0.93251,0.8954,0.93181,0.81242,0.9466,0.87566,0.92422,0.77657,0.53274,0.91641,0.42256,0.64768,0.000412749,0.000412749,0.000412749
40,31193.2,0.45808,0.77959,0.34853,0.90448,0.94144,0.88677,0.93272,0.8162,0.95038,0.87718,0.92722,0.778,0.51636,0.91553,0.41795,0.63538,0.000379743,0.000379743,0.000379743
41,31959.6,0.47225,0.79477,0.38483,0.91024,0.94746,0.88293,0.93408,0.80344,0.94969,0.87531,0.9269,0.77232,0.55055,0.90483,0.43861,0.65156,0.000346736,0.000346736,0.000346736
42,32726.4,0.47828,0.78436,0.37692,0.9174,0.95921,0.87447,0.93472,0.80584,0.96156,0.87532,0.92907,0.7768,0.55252,0.90569,0.42429,0.6546,0.000313729,0.000313729,0.000313729
43,33493,0.46866,0.75863,0.36526,0.9106,0.92823,0.88931,0.93372,0.81044,0.93882,0.8874,0.92934,0.77685,0.52534,0.89656,0.42595,0.63737,0.000280723,0.000280723,0.000280723
44,34260,0.45403,0.77169,0.35982,0.90948,0.945,0.89236,0.93756,0.82156,0.94803,0.89521,0.92981,0.78562,0.5171,0.89375,0.40671,0.63395,0.000247716,0.000247716,0.000247716
45,35025.3,0.44509,0.75944,0.34796,0.90971,0.9478,0.88454,0.93597,0.82031,0.95159,0.8825,0.93164,0.78574,0.5131,0.88648,0.40863,0.63826,0.00021471,0.00021471,0.00021471
46,35789.3,0.4488,0.74733,0.34657,0.90469,0.93845,0.89417,0.93698,0.81652,0.95002,0.88602,0.93367,0.78218,0.51552,0.89596,0.41484,0.64076,0.000181703,0.000181703,0.000181703
47,36555.8,0.4284,0.74327,0.34114,0.90182,0.96147,0.87402,0.94129,0.82509,0.96065,0.8831,0.93215,0.79175,0.50368,0.87527,0.40795,0.63516,0.000148696,0.000148696,0.000148696
48,37321.5,0.41716,0.73083,0.33448,0.90258,0.9458,0.88761,0.94107,0.83251,0.94883,0.89109,0.93779,0.79186,0.48678,0.88125,0.39661,0.62955,0.00011569,0.00011569,0.00011569
49,38086.6,0.40479,0.73045,0.3229,0.89435,0.93367,0.89891,0.94278,0.83247,0.94825,0.89067,0.93739,0.79204,0.49339,0.88532,0.3884,0.6327,8.26832e-05,8.26832e-05,8.26832e-05
50,38851.2,0.40357,0.73441,0.32052,0.89593,0.94618,0.89507,0.94202,0.83868,0.94687,0.89569,0.9365,0.79657,0.48359,0.88386,0.38093,0.62723,4.96766e-05,4.96766e-05,4.96766e-05
